RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,PrevDelq,RiskEst,TradesDelq,RevBalance/CreditLimit
Bad,69.0,43.0,8.0,22.0,7.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,8.0,1.0,50.0,0-4 months,1.0,58.0,3.0,3.0,1.0,86.0,No,High Risk,No,High
Bad,75.0,410.0,2.0,121.0,37.0,1.0,1.0,83.0,10-19 months,30 days delinquent,120+ days delinquent,43.0,1.0,7.0,0-4 months,1.0,34.0,7.0,1.0,1.0,53.0,Yes,Low Risk,Yes,High
Bad,61.0,256.0,19.0,68.0,14.0,0.0,0.0,87.0,0-9 months,30 days delinquent,30 days delinquent,15.0,0.0,33.0,0-4 months,2.0,62.0,3.0,3.0,1.0,86.0,Yes,High Risk,Yes,High
Good,70.0,191.0,6.0,65.0,12.0,2.0,1.0,73.0,20-29 months,unknown delinquency,90 days delinquent,16.0,2.0,40.0,0-4 months,0.0,7.0,2.0,2.0,0.0,67.0,Yes,High Risk,Yes,Low
Good,69.0,312.0,15.0,94.0,27.0,1.0,0.0,82.0,10-19 months,30 days delinquent,60 days delinquent,30.0,0.0,18.0,15-19 months,0.0,54.0,2.0,2.0,1.0,56.0,Yes,High Risk,Yes,High
Bad,69.0,72.0,3.0,48.0,14.0,1.0,0.0,87.0,20-29 months,unknown delinquency,60 days delinquent,15.0,2.0,7.0,No inquiries,1.0,29.0,5.0,1.0,0.0,58.0,Yes,High Risk,Yes,High
Bad,64.0,224.0,3.0,102.0,36.0,0.0,0.0,94.0,0-9 months,30 days delinquent,30 days delinquent,9.0,1.0,11.0,No inquiries,0.0,71.0,6.0,2.0,2.0,56.0,Yes,High Risk,Yes,High
Good,61.0,183.0,25.5,111.0,3.0,1.0,1.0,72.5,0-9 months,30 days delinquent,derogatory comment,5.0,0.0,20.0,No inquiries,1.0,94.0,1.0,1.0,1.0,100.0,Yes,High Risk,Yes,High
Bad,57.0,129.0,4.0,63.0,32.0,0.0,0.0,84.0,20-29 months,unknown delinquency,30 days delinquent,32.0,5.0,31.0,0-4 months,3.0,82.0,4.0,4.0,2.5,73.0,Yes,High Risk,Yes,High
Bad,63.0,168.0,3.0,21.0,3.0,1.0,1.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,9.0,1.0,67.0,No inquiries,1.0,75.0,1.0,2.0,1.0,100.0,No,High Risk,No,High
Good,86.0,181.0,8.0,82.0,29.0,0.0,0.0,97.0,80+ months,unknown delinquency,30 days delinquent,31.0,1.0,42.0,5-9 months,0.0,3.0,1.0,1.0,0.0,14.0,Yes,Low Risk,Yes,Low
Bad,76.0,148.0,9.0,42.0,14.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,14.0,2.0,14.0,0-4 months,0.0,38.0,4.0,2.0,1.0,67.0,No,Low Risk,No,High
